Company,MSE,MAE,R2,MAPE
BOLT.TA,6325.498142,62.62876383,-1.291081591,59.7977771
BONS.TA,6.710830162,1.846931734,0.517344667,14.53453709
BOTI.TA,7918.377874,52.40840242,0.96304073,1.383525778
BRAM.TA,89.44113673,2.450495986,0.523565485,39.78667039
BRAN.TA,27133.51403,93.11647775,0.131271534,7.213003991
BRIH.TA,38.10476086,4.442846571,0.579580578,7.038896791
BRIL.TA,12287.24842,89.50293841,0.919944368,6.564537661
BRKT.TA,141.9300461,6.915871014,0.609220257,32.94552119
BRMG.TA,11566.06701,89.54074657,0.452550729,6.941285753
BRND.TA,13.52342489,2.857618495,0.973036589,1.194796612
BSEN.TA,114330438.2,8604.728109,-1.830559562,36.55620006
BULL-M.TA,22209.76731,141.1632362,-195.0787887,8745.476051
BVC.TA,73.2347298,6.616342879,-0.284030324,7.597663827
BVGG.TA,0.030436366,0.134735033,0.906248345,1.910164415
BWAY.TA,1723.832941,29.79034748,0.980502012,2.053973241
CAMT.TA,122977542.2,9241.229695,-2.38861826,26.43366285
CANF.TA,1.352298675,0.984550891,-3.643941147,37.46957269
CAST.TA,318070.8564,379.4559281,0.866665371,6.666162436
CBI.TA,16.39857309,3.094745628,-0.043397041,8.186644618
CDEV.TA,751785.9247,479.7852041,0.191565601,3.929810298
CEL.TA,743.5486122,19.49074757,0.973991455,1.199130072
CFX.TA,83.39465415,6.873147147,0.934112251,1.824994541
CGEN.TA,6793.13645,61.69955532,0.521929609,8.135215826
CILO.TA,1737.771572,37.91545071,-8.419640921,970.2541022
CION.TA,73.62056649,2.483885849,-0.044849751,-35.98612111
CISY.TA,26124.75552,128.5527573,0.352568273,7.827542859
CLAB.TA,59962.6628,199.9741054,-0.215416572,19.93978072
CLIS.TA,17200.636,76.16633251,0.970712034,1.126811456
CMCT.TA,680351.8921,671.5239744,-2.29372916,324.2267834
CMDR.TA,14902893.78,1770.556952,0.179455927,5.433640766
CMER.TA,824394.6689,821.0598673,-4.1757126,48.20483797
CNGL.TA,8.051117454,1.377640785,0.063088953,17.0784909
CNTC.TA,338358.9335,503.6547511,-15.81538866,4333.294293
CNTL-M.TA,22124.81095,120.180077,-50.54180495,1976.508714
CNZN.TA,6682.29282,54.87247635,-0.48801684,1916.51057
CPIA.TA,0.046045089,0.200546475,-19.47562413,40.40777312
CPTP.TA,86.20345139,4.17914455,0.647469727,466.1722788
CRML.TA,12682.2143,89.12683504,0.582166184,5.001847497
CRMT.TA,50342.75259,106.1017795,0.496366035,624.2848339
CRSM.TA,68758.59241,137.3506183,0.225013981,6.339211135
CRSR.TA,106853.7143,225.9226244,0.533556524,7.544102316
CTPL1.TA,215306826,6613.575424,-0.328670999,79.07264694
CTPL5.TA,3655574832,40044.80668,-0.824312605,384.6180813
DANE.TA,307500.6784,447.469898,0.971664453,1.348923042
DANH.TA,4691147.818,2024.85796,-6.810270939,96.45003842
DELG.TA,52571.70059,173.4497848,0.959412952,1.009143722
DIFI.TA,653377.3549,588.0130102,0.958414314,1.172937786
DIMRI.TA,9705460.271,2197.462364,0.03322,6.719602815
DIPL.TA,21276.58907,97.40647521,0.90215162,2.739861478
DISI.TA,94.19969476,8.312377805,0.95767309,2.226274752
DLEA.TA,3213.083408,44.17070512,0.943234801,2.063804843
DLEKG.TA,364690.9729,486.9673948,0.957486898,1.179473019
DLTI.TA,79938.74963,198.5124302,0.913149574,3.278882226
DNA.TA,8.327241361,1.954780641,0.924694348,2.326245186
DNYA.TA,402390.7302,283.3324478,0.681990285,2.845740407
DORL.TA,392.4422578,15.37929937,0.991385568,1.450159988
DRAL.TA,21512.19953,78.35984136,0.93068462,0.960848827
DRSH.TA,5016.800798,40.75498296,0.539032952,3.011966031
DSCT.TA,26092.57061,77.41866032,0.475036895,3.405425809
DUNI.TA,1894904.555,743.566183,0.729069326,3.089718165
ECNR.TA,6070.061574,57.66251295,0.962613478,3.282909804
ECP.TA,50622.00222,168.4747728,0.92909742,2.20885379
ECPA-M.TA,107.8683601,2.716746036,0.057959907,26.51682371
EFCP.TA,3.547539134,1.491783878,-1.68322024,11.96280729
EFNC-M.TA,0.107600793,0.189559209,-0.501376402,8.404354371
ELAL.TA,12786.05384,66.53517855,0.236941347,9.731725559
ELCO.TA,56942.25525,201.0282605,0.960216478,1.812083536
ELCP.TA,684587.6988,772.3338897,-13.48569014,38.74932083
ELCRE.TA,2957.410976,41.04049446,0.982039318,1.037153097
ELDAV-M.TA,0.085611513,0.215836377,-0.683783739,8.944908231
ELLO.TA,492448.9677,579.9730648,-0.418211983,11.12736537
ELMR.TA,2531.886975,20.65742985,0.802438556,1.737555992
ELRN.TA,285.7212082,13.85222803,0.898487935,2.985393317
ELSPC.TA,12146.3003,66.67174645,-0.217759598,9.777773728
ELTR.TA,6637699.663,2009.492538,0.985428725,1.386562136
ELWS.TA,167078.7005,303.8901925,0.991452993,1.895941818
EMCO.TA,182402.716,300.265774,-21.13254684,34.45250748
EMDV.TA,710.8550182,18.4857113,0.970690981,0.794687314
EMITF-M.TA,0.008770091,0.064814487,0.967085666,1.541716747
EMTC-M.TA,0.053375995,0.221068022,-17.06323128,119.6278596
ENDY.TA,64.6094407,5.973214784,0.954491681,2.235933239
ENLT.TA,5132.180251,55.99124482,0.952684108,0.910284398
