Company,MSE,MAE,R2,MAPE
NFTA.TA,60581.38837,179.9051162,-0.403857829,8.535188531
NICE.TA,962103.6149,698.4549012,0.990349058,0.98240272
NISA.TA,1576.162506,32.37642227,0.922640585,2.361476319
NOFR.TA,9645.481409,73.25282283,0.941192319,0.83479268
NRGN.TA,25292.52479,135.3306141,-3.031345657,40.42734347
NSTR.TA,1702.011395,31.22291599,0.956948276,3.339579612
NTGR.TA,188.2362499,10.81219206,0.981032322,0.971618906
NTML.TA,15349.84798,100.2712091,0.984998051,1.747403374
NTNB.TA,194.39746,12.2894127,0.450454495,5.512456327
NTO.TA,3894254.338,1506.285979,-1.564158871,20.28210863
NURI.TA,197557.7122,398.6027196,0.272356442,41.2518155
NVLG.TA,18.26801802,3.293430575,0.851173042,2.320747226
NVMI.TA,634746646.3,22568.61878,-4.217654085,30.42350288
NVPT.TA,461.8734413,18.91140516,-3.712192131,36.82564885
NWMD.TA,2549.340355,41.74011585,0.648420361,4.2210742
NXFR.TA,1140100.111,846.9567509,-54.41169604,377.3876263
NXGN.TA,6132.126835,66.37875793,-3.139350097,1976.053251
NXSN.TA,593.5340037,23.07758456,-12.66549496,49.36343229
NXTG.TA,119.5435904,7.611163572,0.461398297,11.88885498
NXTM.TA,125.0002576,8.788505809,0.977849549,1.246805823
NYAX.TA,15315.16058,94.73703882,0.984266566,1.022820423
ONE.TA,87722.67721,130.9863636,0.735315415,2.231550223
OPAL.TA,6.426790629,1.93518477,0.984914058,1.241096883
OPCE.TA,1089.956117,25.52933407,0.973064858,0.941599709
OPK.TA,1116.831357,20.96666738,0.849807898,5.345204933
ORA.TA,91674.88651,238.7485518,0.979178476,0.894109094
ORAD.TA,1.086243812,0.709402584,0.956761541,1.172152934
ORBI.TA,154103.2231,324.5285816,-2.128481126,13.00220517
ORIN.TA,3783.572787,38.33700954,0.92712155,2.213256425
ORL.TA,11.34172941,2.44080018,0.956696229,2.299378265
ORMP.TA,0.191966101,0.363668216,0.795801021,4.068037491
ORON.TA,311.7494153,13.2387685,0.977614345,1.717616559
ORTC.TA,131671.7022,299.5495947,-2.117460125,28.8574693
OVRS.TA,107.6451065,4.866524234,0.813282101,1.367816768
PAYT.TA,156845.5129,243.1198161,0.709904603,3.65572686
PAZ.TA,43939732.54,4758.028771,-0.514447551,12.28686693
PCBT.TA,12700.84809,61.93299571,0.384235483,9.375602295
PEN.TA,4.359246292,1.618358615,0.991816237,1.101567
PERI.TA,289176.1065,441.3320775,0.96599488,10.08494788
PHOE.TA,236913.1447,292.7100965,-0.057550111,6.760946868
PHTM.TA,571659.9545,674.5319625,-5.214931515,29.13845311
PLAZ-L.TA,2592.247683,33.03574196,0.802373701,928.7573577
PLCR.TA,13499.4045,85.75539981,-1.368507814,356.6231828
PLNT.TA,31570.85346,154.6347428,-5.594070952,429.642595
PLRM.TA,2840190.002,1191.599212,-0.484680197,18.39759856
PLSN.TA,27129.84305,119.2584887,0.983407977,0.857602581
PLUR.TA,1687503.267,1164.501271,-9.599658939,57.16776346
PMNT.TA,160.7079368,9.29533731,0.931976263,3.424360268
PMVM.TA,19535.25621,98.48918543,0.391174556,41.72995806
POLI.TA,229046.706,331.067873,-0.61525634,8.739115935
POLP.TA,739.0011792,20.75289799,0.908985222,1.867394807
POLY.TA,12.50798072,2.636197671,-0.381089522,6.521116924
PPBT.TA,580.2362069,22.35067443,-7.398141745,197.1374274
PPIL.TA,28590.96379,87.0222141,0.161236758,1124.066513
PRIM.TA,37549.47922,131.6337469,-0.114354461,23.90551878
PRKM.TA,3207.120432,42.1306059,0.885254121,7.794073517
PRMG.TA,14338.92577,91.13910183,0.658494987,8.329128279
PRPD.TA,3803.546868,43.14324943,0.919072098,2.209067485
PRSK.TA,11610.42095,86.97285471,0.990358615,0.977765527
PRTC.TA,35464736.69,5250.93594,-3.507500129,29.2282284
PTBL.TA,106988.3094,242.4665492,0.988203969,1.158259682
PTCH.TA,0.003664595,0.047417744,0.988305242,2.115629562
PTNR.TA,12469.27181,86.70615488,0.62401352,5.159265965
PTX.TA,142.5238475,5.818937775,0.584247293,233.3517637
PULS.TA,62202.91593,225.5305472,-3.62506864,60.16879167
QLRD.TA,320647.0766,491.0387369,-1.464000993,14.88045089
QLTU.TA,45765035.25,5584.441269,-2.172967194,37.40927601
QNCO.TA,139.5779213,8.861410428,0.972962266,2.440998568
RANI.TA,26.02677984,3.934904021,0.980145989,1.31454468
RATI.TA,0.054008685,0.134464285,0.276926128,4.229121356
RAVD.TA,7059.13269,69.71034095,-1.293754985,8.749551472
RAYG-M.TA,220.6491682,8.933286884,0.64127966,332.4310755
REKA.TA,19180.36102,117.9450394,-1.702533039,8.766721451
RIMO.TA,25208.40795,99.01169617,0.851905209,2.42272243
RIT1.TA,251.0039916,12.62017329,0.98988671,0.826452221
RLCO.TA,166628.4214,187.1650071,0.498494739,4.530153559
RMLI.TA,312408.5912,252.2892387,0.861291571,1.12113889
RMN.TA,120.0768836,8.397274302,0.994532696,0.718757192
RMON.TA,1994.976844,34.26483792,0.990649657,1.033015341
ROBO.TA,0.007450546,0.065925268,0.76915662,6.178321122
ROTS.TA,164951.7493,182.9831902,0.745091295,3.528034893
RPAC.TA,543.9613229,18.0208033,0.970391688,0.718925175
RSEL.TA,12507.06812,93.49456278,-2.078972901,13.31945798
RTEN.TA,0.02630751,0.134577722,0.900909405,5.842934236
RTLS.TA,34889.39342,121.4452144,0.957249312,1.603666965
RTMD-L.TA,1225.199427,30.35624665,-2.850525318,87.0089599
RTPT.TA,0.003249888,0.048465515,0.243222799,25.68010583
RVL.TA,2825.690121,44.7470648,-0.832554583,22.10451332
RZR.TA,54522.88551,202.8135565,-1.7731581,39.8960602
SAE.TA,150799.2811,220.0422727,0.532698869,6.494360441
SANO1.TA,245258.0097,291.9538491,0.961588643,0.915110386
SARN.TA,3507.89372,35.97908247,-0.591501495,42.76971694
SBEN.TA,144.5923301,6.752475082,0.66628793,2.85145872
SCC.TA,4832.851477,65.55942842,-13.03232292,168.3472768
SCDX.TA,466.6745262,14.57565523,0.226340234,5.125243561
SCOP.TA,259928.4757,395.7258588,0.79604696,3.388609666
SEMG.TA,1751.927408,36.68152181,0.118265344,21.12869302
SFRN.TA,2209.289317,27.62061979,0.821200705,4.670412657
SHAN.TA,28.76408962,3.836419475,0.964394512,1.12449829
