Ticker,Day,Forecast
ALMA.TA,Day_26,778.7294312
ALMA.TA,Day_27,773.9118042
ALMA.TA,Day_28,777.3825684
ALMA.TA,Day_29,776.9407349
ALMA.TA,Day_30,778.6893921
ALMD.TA,Day_1,36.52550888
ALMD.TA,Day_2,36.58243561
ALMD.TA,Day_3,36.60890961
ALMD.TA,Day_4,35.92206192
ALMD.TA,Day_5,35.96797562
ALMD.TA,Day_6,35.85200882
ALMD.TA,Day_7,35.81763077
ALMD.TA,Day_8,35.63498688
ALMD.TA,Day_9,34.97107315
ALMD.TA,Day_10,35.59734726
ALMD.TA,Day_11,36.0073967
ALMD.TA,Day_12,36.02433014
ALMD.TA,Day_13,35.5430069
ALMD.TA,Day_14,35.72575378
ALMD.TA,Day_15,38.17163467
ALMD.TA,Day_16,37.76616669
ALMD.TA,Day_17,36.85181808
ALMD.TA,Day_18,36.88214493
ALMD.TA,Day_19,36.8418541
ALMD.TA,Day_20,36.64748764
ALMD.TA,Day_21,37.37673569
ALMD.TA,Day_22,38.23970795
ALMD.TA,Day_23,37.93777084
ALMD.TA,Day_24,38.08414459
ALMD.TA,Day_25,37.45162201
ALMD.TA,Day_26,38.03729248
ALMD.TA,Day_27,38.05754471
ALMD.TA,Day_28,37.54486465
ALMD.TA,Day_29,37.55213165
ALMD.TA,Day_30,37.65288925
ALMY.TA,Day_1,36.35358047
ALMY.TA,Day_2,9.782863617
ALMY.TA,Day_3,9.783923149
ALMY.TA,Day_4,9.464624405
ALMY.TA,Day_5,36.31420135
ALMY.TA,Day_6,36.31957626
ALMY.TA,Day_7,36.33787918
ALMY.TA,Day_8,36.29397202
ALMY.TA,Day_9,36.34069443
ALMY.TA,Day_10,36.27468109
ALMY.TA,Day_11,36.33665085
ALMY.TA,Day_12,36.31767273
ALMY.TA,Day_13,36.3150444
ALMY.TA,Day_14,36.35488129
ALMY.TA,Day_15,36.37488174
ALMY.TA,Day_16,36.35168839
ALMY.TA,Day_17,36.3221283
ALMY.TA,Day_18,36.31531525
ALMY.TA,Day_19,36.33356094
ALMY.TA,Day_20,36.37586212
ALMY.TA,Day_21,36.37023926
ALMY.TA,Day_22,36.37668228
ALMY.TA,Day_23,36.35929489
ALMY.TA,Day_24,36.36312866
ALMY.TA,Day_25,36.37261963
ALMY.TA,Day_26,36.30194473
ALMY.TA,Day_27,36.34022141
ALMY.TA,Day_28,36.30432892
ALMY.TA,Day_29,36.32278442
ALMY.TA,Day_30,36.23649216
ALRPR.TA,Day_1,14686.17285
ALRPR.TA,Day_2,14868.43652
ALRPR.TA,Day_3,14803.30078
ALRPR.TA,Day_4,14661.25195
ALRPR.TA,Day_5,14709.19531
ALRPR.TA,Day_6,14904.14258
ALRPR.TA,Day_7,15100.1875
ALRPR.TA,Day_8,15052.92578
ALRPR.TA,Day_9,15283.75684
ALRPR.TA,Day_10,15614.19141
ALRPR.TA,Day_11,15612.6582
ALRPR.TA,Day_12,15634.66602
ALRPR.TA,Day_13,15683.76563
ALRPR.TA,Day_14,15588.48047
ALRPR.TA,Day_15,15617.38086
ALRPR.TA,Day_16,15949.8457
ALRPR.TA,Day_17,16508.91602
ALRPR.TA,Day_18,16914.57227
ALRPR.TA,Day_19,17271.21875
ALRPR.TA,Day_20,17407.47461
ALRPR.TA,Day_21,17766.54883
ALRPR.TA,Day_22,18237.10938
ALRPR.TA,Day_23,18247.39844
ALRPR.TA,Day_24,18348.31055
ALRPR.TA,Day_25,18402.33398
ALRPR.TA,Day_26,18838.44336
ALRPR.TA,Day_27,18892.87695
ALRPR.TA,Day_28,19023.1543
ALRPR.TA,Day_29,19056.66211
ALRPR.TA,Day_30,18976.30859
ALUMA.TA,Day_1,38.24246979
ALUMA.TA,Day_2,38.1525383
ALUMA.TA,Day_3,38.21317291
ALUMA.TA,Day_4,38.21242905
ALUMA.TA,Day_5,38.30670166
ALUMA.TA,Day_6,38.34251404
ALUMA.TA,Day_7,38.85722733
ALUMA.TA,Day_8,38.43644333
ALUMA.TA,Day_9,38.46168518
ALUMA.TA,Day_10,38.27184677
ALUMA.TA,Day_11,38.5755806
ALUMA.TA,Day_12,38.57035065
ALUMA.TA,Day_13,38.59851837
ALUMA.TA,Day_14,38.90349197
ALUMA.TA,Day_15,39.68372345
ALUMA.TA,Day_16,40.56792831
ALUMA.TA,Day_17,42.88429642
ALUMA.TA,Day_18,42.85974884
ALUMA.TA,Day_19,41.66009903
ALUMA.TA,Day_20,42.85983276
ALUMA.TA,Day_21,42.86891556
ALUMA.TA,Day_22,43.00739288
ALUMA.TA,Day_23,43.01018906
ALUMA.TA,Day_24,42.88041687
ALUMA.TA,Day_25,42.82849121
ALUMA.TA,Day_26,43.06243896
ALUMA.TA,Day_27,43.99330521
ALUMA.TA,Day_28,44.02407837
ALUMA.TA,Day_29,43.985672
ALUMA.TA,Day_30,43.96807861
AMAN.TA,Day_1,1550.922241
AMAN.TA,Day_2,1558.603394
AMAN.TA,Day_3,1557.279297
AMAN.TA,Day_4,1558.772827
