Company,MSE,MAE,R2,MAPE
CTPL1.TA,54547.2768,60.69863414,0.977075567,0.184681495
CTPL5.TA,414672.4827,141.2981876,0.993115045,0.159345038
DANE.TA,339380.7862,436.34981,0.903218544,1.351826903
DANH.TA,695.9064673,12.46436766,0.942306088,0.550554413
DELG.TA,99789.6347,242.3959882,0.848233227,1.50085226
DIFI.TA,1301297.751,782.1195631,0.907619206,1.569260922
DIMRI.TA,260549.2736,395.5986764,0.968932038,1.425956118
DIPL.TA,1552.977118,31.00628087,0.908372186,0.987718583
DISI.TA,55.26578461,5.316909057,0.934252899,1.468044496
DLEA.TA,2719.726891,38.97058824,0.883168261,1.824195314
DLEKG.TA,555506.429,600.567603,0.892069731,1.458419247
DLTI.TA,10196.29103,64.70847973,0.977034235,1.184204486
DNA.TA,5.44210084,1.532773109,0.949055635,2.001840638
DNYA.TA,22974.69098,119.1079444,0.926617869,1.457102477
DORL.TA,731.3489638,19.99354973,0.984537019,1.97398895
DRAL.TA,11878.62124,74.82832274,0.932803192,1.042647302
DRSH.TA,230.0606061,11.87878788,0.915940029,0.960032114
DSCT.TA,933.744708,24.80012605,0.936401199,1.333998877
DUNI.TA,162302.6433,317.3908068,0.925035752,1.636270134
ECNR.TA,74.20943128,5.697156398,0.969163489,2.216905616
ECP.TA,33292.74353,137.2818555,0.911689126,1.814017591
ECPA-M.TA,0.429161156,0.303710599,0.763065252,3.307391037
EFCP.TA,260.5294118,11.05882353,0.760958857,0.944970041
EFNC-M.TA,74.81627692,4.650726583,0.993424361,1.220420967
ELAL.TA,239.3217647,11.64453782,0.983382121,2.436378823
ELCO.TA,51316.43022,180.6478571,0.920099359,1.622611323
ELCP.TA,1196.212843,26.02398984,0.979613462,1.254657914
ELCRE.TA,6273.077097,59.83139519,0.908446407,1.585761919
ELDAV-M.TA,24.23993662,2.271803997,0.954884863,1.05022656
ELLO.TA,1.001852878,0.765830028,0.988923197,2.234270313
ELMR.TA,301.3610996,11.66501742,0.905065999,1.197561711
ELRN.TA,69.19687413,4.436740063,0.957596928,1.274579954
ELSPC.TA,147.6583932,8.249038454,0.950589249,1.548103314
ELTR.TA,8223754.474,2312.342479,0.902044454,1.635632433
ELWS.TA,414343.9969,461.5878845,0.982384361,3.135827868
EMCO.TA,238.3401544,11.2343851,0.98600214,1.371684753
EMDV.TA,1382.045312,26.9452521,0.912016531,1.209550678
EMITF-M.TA,125.4361112,6.586008413,0.891955495,1.622531149
EMTC-M.TA,1.548991597,0.679831933,0.969552895,3.170096349
ENDY.TA,31.84657438,2.487983604,0.980991721,0.855021334
ENLT.TA,3.718361345,1.363445378,0.975995592,2.278140481
ENLV.TA,4926.789999,31.04409172,0.954771423,3.789681957
ENOG.TA,9932.710675,75.35411765,0.904782592,1.656775335
ENRG.TA,137.5345329,8.801371141,0.848781166,1.409389062
EPIT.TA,1940.741922,12.34456754,0.974061796,1.986759407
EQTL.TA,66845.20332,209.0958105,0.903410885,1.877105936
ESLT.TA,1042962.671,760.9785714,0.925667107,1.026520619
ETGA.TA,232.5797882,11.01823985,0.990053137,1.005292544
EVGN.TA,9587.545226,66.13640387,0.982216839,2.831149274
EXPO.TA,2602.138791,34.87997031,0.97401721,0.798413067
FBRT.TA,46342.30653,151.0903816,0.968857661,1.149961679
FEAT.TA,45.43361274,2.343541039,0.517750918,1.84038145
FGAS.TA,324.3066214,11.56796668,0.969598156,1.16259874
FIBI.TA,50855.37663,182.3794538,0.865491359,1.263759278
FIBIH.TA,54028.25747,184.4814286,0.872341071,1.22481971
FLYS.TA,7.158136351,1.806625277,0.960567741,2.333163079
FORTY.TA,249049.2607,380.1639076,0.965336911,1.408370285
FOX.TA,328091.6324,471.1693624,0.948188642,1.794238378
FRDN.TA,15242.19859,79.37522311,0.951604302,1.578997131
FRSX.TA,0.485227903,0.324860905,0.953842336,2.287736195
FTAL.TA,644635.8769,629.1377895,0.93397235,1.491929756
G107.TA,10.07954839,1.810967742,0.807552023,3.999791885
GAGR.TA,26.34201841,3.269598374,0.962257657,1.107482919
GAON-M.TA,855.6097023,9.499445146,0.994605531,0.355207515
GCT.TA,700.3497005,20.57913313,0.952966637,1.812912141
GEFR.TA,1.923521865,1.021032002,0.962160283,1.943200079
GFC-M.TA,608.1232285,9.790196816,0.888779136,0.872783669
GIBUI.TA,0,0,1,0
GILT.TA,2050.49493,33.51103259,0.972749965,1.599328955
GIVO.TA,0.378699395,0.424388896,0.96612841,1.517103713
GIX.TA,2.100305264,0.800588513,0.982406105,3.038438496
GKL.TA,0.870869623,0.449872198,0.969778686,0.786063306
GLEN-M.TA,0.03810377,0.088206538,0.955334242,2.593260227
GLRS.TA,197179.518,300.8112679,0.868299795,0.761591613
GLTC.TA,1.419857925,0.795640117,0.925304075,3.462592831
GLTL.TA,6.456932773,1.544957983,0.932634548,2.762413159
GMLA.TA,356.660119,4.682142857,0.964120721,1.013295871
GNCL.TA,9.087938144,2.020618557,0.983239908,2.536625396
GNGR.TA,343.1957481,12.18575851,0.963400066,1.34867103
GNRS.TA,2.119272989,1.087588612,0.951745433,1.831864407
GOHO.TA,2948.034192,35.83400609,0.965215822,1.770553421
GOLD.TA,37974.16509,128.172377,0.862801376,1.018027089
GOLF.TA,58.72633986,5.097758037,0.990829616,1.373703588
GOSS.TA,66.63279052,5.324365494,0.972526457,1.133164348
GOTO.TA,180.0308829,8.891156109,0.965075901,1.831203163
GPGB-M.TA,441.735014,6.607535795,0.982144889,0.490027839
GRAC.TA,658.5089034,10.06810538,0.985705147,0.784301611
GRIN.TA,327.5490342,11.19648312,0.885331399,1.264813975
GSFI.TA,2251.647726,30.84495379,0.996538271,1.297491993
GUID.TA,61.05723746,3.424718711,0.95138714,0.50659893
GVYM.TA,2082.804372,35.52487395,0.941037116,1.311376298
HAMAT.TA,535.263209,15.99447951,0.957601562,1.404540573
HARL.TA,3618.7743,47.54247899,0.967874628,1.521715483
HDHA.TA,0.38963319,0.289858579,0.898347208,0.49120593
HDST-M.TA,12.22130082,1.183326258,0.951531377,2.173068038
HGG.TA,1176.769225,25.19790485,0.955577868,1.656052657
HGGE.TA,101.3859471,6.625394875,0.919505654,1.336446354
HICN.TA,30.47833881,3.673500132,0.858232261,3.092530117
HIPR.TA,1303.407968,25.42827957,0.948351497,1.470897504
HIVE.TA,0,0,1,0
HLAN.TA,91035.58662,229.885157,0.92422674,1.149937978
HLMS.TA,59.21810103,5.915339863,0.92712206,1.297160738
HMAM.TA,116.5221136,5.192642523,0.968066817,1.281081902
HMGS.TA,59.26420495,4.537922224,0.995882097,1.797173839
HOD.TA,4029.009498,40.28406752,0.962241384,1.092618949
HRON.TA,6177473.817,1388.015018,0.951079929,0.71700909
HUMX.TA,5.613286313,0.870321775,0.973982076,1.671900493
IARG.TA,25.31134139,3.125210599,0.952444545,2.878709836
ICL.TA,929.8593038,23.72936975,0.935057355,1.405184196
ICON.TA,37.50284895,4.137694666,0.952962137,0.949128673
IDIN.TA,27939.52524,133.9408621,0.980433886,1.38252032
IDMO.TA,606.4175306,13.49437452,0.953991021,2.846614462
IDNT.TA,634.9576364,11.10969697,0.917559526,4.009805581
IES.TA,120377.8163,270.4958649,0.958211325,1.2697639
IGLD.TA,1952.135866,25.69975056,0.776029424,4.153995787
ILCO.TA,2915078.882,1348.468025,0.923528933,1.57751024
ILDC.TA,4803.397575,55.3520472,0.880737077,1.77792655
ILDR.TA,217.474088,10.49591726,0.982636634,1.664488032
ILX.TA,9518.696811,69.95712494,0.930732882,1.114426007
IMCO.TA,6838.928313,56.5975586,0.979380413,2.161830567
IMED.TA,12.50903025,1.708235667,0.96489486,1.937036013
INCR.TA,815.4259298,19.69844535,0.982252589,2.55401342
INFR-M.TA,30842601.68,1683.361345,0.811383475,5.166396005
ININ.TA,41.51320756,4.183131502,0.92493737,1.606670565
INRM.TA,474.6983906,16.90183278,0.940450556,1.530047639
INTO.TA,90.26470588,6.24789916,0.981656371,2.288996521
INTR.TA,8414.416191,34.71105042,0.79952376,0.57601114
ISCN.TA,919.6484587,24.40184746,0.959740882,1.919522087
ISHI.TA,12098.04292,84.60248069,0.955788477,1.316663597
ISI.TA,714.2776748,17.17362799,0.942577111,1.387562177
ISOP.TA,5.178302998,1.583527989,0.87379856,2.146416042
ISRA.TA,6.683318584,1.963717395,0.9187581,1.289543765
ISRG.TA,5.026758191,1.688370327,0.960568535,1.197334902
ISRO.TA,17063.82441,93.19932627,0.958984667,1.225585821
