Ticker,MSE,MAE,MAPE,R2
WLFD.TA,19306.64713,102.014376,0.051077667,0.794048865
WILC.TA,16.26787553,3.144659394,0.063262764,0.725630302
WNBZ.TA,11.87906613,2.50345208,0.132229098,-1.611836373
YBRD.TA,179205.4688,188.5609447,4.525690848,0.494942869
YAAC.TA,1.027770298,0.654723002,0.017281001,0.714704769
YBOX.TA,0.962116611,0.603630255,0.007237829,0.99232573
YHNF.TA,337098.4045,456.538893,0.020282347,0.906304819
ZNKL.TA,137737.9746,304.1220986,0.078415975,-0.819882771
ZPRS.TA,1739.158975,33.50714558,0.026366859,0.899462801
ZMH.TA,16060.01603,86.28881432,0.024914473,0.930504749
ZOOZ.TA,4942.290693,59.64872301,0.067151167,0.743490336
ZUR.TA,958.5002293,27.66697832,0.045028064,0.858308731
